AECC	ALOGP	ALOGP2	AMW	ATS4m	ATSC1s	ATSC3e	B01[C-Cl]	B01[C-S]	B01[N-O]	B01[O-S]	B02[N-N]	B02[N-O]	B02[N-S]	B02[O-O]	B03[N-N]	B03[N-O]	B03[N-S]	B03[O-O]	B03[O-S]	B04[N-N]	B04[N-O]	B04[N-S]	B04[O-O]	B04[O-S]	B05[C-Cl]	B05[C-N]	B05[N-N]	B05[N-O]	B05[N-S]	B05[O-O]	B05[O-S]	B06[C-N]	B06[C-S]	B06[N-N]	B06[N-O]	B06[N-S]	B06[O-Cl]	B06[O-O]	B06[O-S]	B07[C-N]	B07[N-O]	B07[O-Cl]	B07[O-O]	B07[O-S]	B08[C-Cl]	B08[C-N]	B08[C-O]	B08[C-S]	B08[N-N]	B08[N-O]	B08[O-O]	B09[C-C]	B09[C-O]	B09[C-S]	B09[N-N]	B09[N-O]	B09[O-S]	B10[C-C]	B10[C-Cl]	B10[C-N]	B10[C-O]	B10[C-S]	B10[N-O]	B10[O-O]	C%	C-001	C-002	C-003	C-005	C-006	C-016	C-017	C-019	C-024	C-025	C-026	C-027	C-028	C-032	C-033	C-034	C-035	C-039	C-040	C-041	C-043	CATS2D_00_AA	CATS2D_00_DA	CATS2D_00_DP	CATS2D_00_LL	CATS2D_01_AA	CATS2D_01_AN	CATS2D_01_LL	CATS2D_02_AA	CATS2D_02_AL	CATS2D_02_DL	CATS2D_02_PL	CATS2D_03_AA	CATS2D_03_AL	CATS2D_03_DL	CATS2D_03_LL	CATS2D_03_NL	CATS2D_03_PL	CATS2D_04_AA	CATS2D_04_AL	CATS2D_04_AP	CATS2D_04_DA	CATS2D_04_DD	CATS2D_04_DL	CATS2D_04_LL	CATS2D_04_PL	CATS2D_05_AA	CATS2D_05_AL	CATS2D_05_DD	CATS2D_05_DL	CATS2D_05_DP	CATS2D_05_LL	CATS2D_06_AA	CATS2D_06_AL	CATS2D_06_AP	CATS2D_06_DA	CATS2D_06_LL	CATS2D_07_AA	CATS2D_07_AL	CATS2D_07_DA	CATS2D_07_DL	CATS2D_07_LL	CATS2D_07_NL	CATS2D_08_AL	CATS2D_08_LL	CATS2D_08_PL	CATS2D_09_AA	CATS2D_09_AL	CATS2D_09_DA	CATS2D_09_LL	CATS2D_09_NL	CATS2D_09_PL	CIC2	CIC3	CMC-50	CMC-80	Chi0_EA(dm)	Chi_D/Dt	Cl-090	D/Dtr03	D/Dtr05	D/Dtr06	D/Dtr09	D/Dtr10	DLS_05	DLS_07	Depressant-80	EE_B(m)	EE_B(s)	Eig01_AEA(dm)	Eig01_AEA(ed)	Eig01_EA(bo)	Eig01_EA(dm)	Eig02_AEA(dm)	Eig02_AEA(ed)	Eig02_EA(dm)	Eig03_AEA(dm)	Eig03_AEA(ed)	Eig03_EA(dm)	Eig04_AEA(ed)	Eig04_EA(bo)	Eig04_EA(dm)	Eig05_AEA(ed)	Eta_betaP	F-083	F01[C-Cl]	F01[C-N]	F01[C-O]	F01[C-S]	F01[N-N]	F02[C-Br]	F02[C-O]	F02[C-S]	F02[N-N]	F02[O-O]	F03[C-N]	F03[C-O]	F03[C-S]	F03[N-F]	F03[N-N]	F03[N-S]	F04[C-Br]	F04[C-O]	F04[N-F]	F04[N-N]	F04[N-O]	F04[O-O]	F04[O-S]	F05[C-S]	F05[N-F]	F05[N-N]	F05[O-Br]	F05[S-F]	F06[C-F]	F06[C-N]	F06[C-O]	F06[C-S]	F06[N-F]	F06[N-N]	F06[N-S]	F06[O-F]	F06[O-O]	F06[O-S]	F06[S-F]	F06[S-S]	F07[C-S]	F07[N-N]	F07[N-O]	F07[O-Cl]	F07[O-F]	F07[O-S]	F08[C-F]	F08[C-S]	F08[N-Cl]	F08[N-F]	F08[N-N]	F08[N-S]	F08[O-F]	F08[S-Cl]	F09[C-F]	F09[C-S]	F09[N-Cl]	F09[N-F]	F09[N-N]	F09[N-S]	F09[O-Cl]	F09[O-O]	F09[O-S]	F10[C-Cl]	F10[C-I]	F10[C-S]	F10[N-Cl]	F10[N-F]	F10[N-N]	F10[N-O]	F10[O-O]	GATS6e	GATS7e	GATS8e	GATS8m	GGI3	GGI5	H%	H-046	H-047	H-048	H-049	H-051	H-052	Hypertens-80	Hypnotic-80	IC2	IDDE	Infective-50	Infective-80	Inflammat-50	Inflammat-80	J_D	J_D/Dt	LOC	MAXDN	MLOGP2	MPC05	N%	N-067	N-073	N-074	N-075	NRS	NaaO	NaaS	NaaaC	NaasC	NaasN	NdO	NdsCH	NdssC	Neoplastic-50	Neoplastic-80	NssO	NsssN	NssssC	NtN	NtsC	O%	O-060	PCD	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_3	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_e_2	P_VSA_e_3	P_VSA_i_1	P_VSA_i_2	P_VSA_m_4	P_VSA_m_5	P_VSA_p_3	P_VSA_ppp_L	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_s_3	P_VSA_s_4	Psychotic-80	Rperim	SM02_EA(dm)	SM03_EA(dm)	SM03_EA(ed)	SM05_EA(bo)	SRW05	SaaNH	SaasC	SdNH	SdssC	SpAD_EA(dm)	SpDiam_B(s)	SpMAD_Dt	SpMAD_EA(ed)	SpMax2_Bh(m)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax6_Bh(s)	SssCH2	T(Cl..I)	T(F..Cl)	T(F..I)	T(N..Br)	T(N..Cl)	T(N..F)	T(N..I)	T(N..N)	T(N..S)	T(O..F)	T(O..S)	T(S..Cl)	T(S..I)	TI1_L	Uc	VE1_A	VE1_B(e)	VE1_B(m)	VE1_B(p)	VE1_B(s)	VE1_X	VE3sign_B(e)	VE3sign_B(m)	VE3sign_B(p)	VE3sign_B(s)	VE3sign_B(v)	Wap	X%	ZM1Mad	nArOR	nArX	nBnz	nCb-	nCconj	nCrs	nCrt	nCsp2	nR06	nR=Cs	nRCONR2	nRCOOR	nThiophenes	piPC08
14.718	-1.294	1.675	6.897	4.419	26.456999999999997	1.207	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	31.3	6	2	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	8	1	0	10	0	0	5	0	1	6	0	0	5	6	0	0	0	1	7	0	2	2	5	0	0	6	7	0	8	0	3	1	6	0	5	6	2	7	2	5	7	0	7	6	0	0	6	4	3	0	0	1.672	1.0270000000000001	0	0	23.730999999999998	1.075	0	0.0	154.997	0.0	0.0	0.0	1.0	0.0	0	5.812	9.32	3.861	6.393	3.4930000000000003	2.004	3.7910000000000004	6.097	1.98	3.7	6.055	1.946	5.781000000000001	3.071	1.911	5.558	13.0	0	0	14	7	0	0	0	7	0	1	0	10	11	0	0	4	0	0	20	0	1	1	1	0	0	0	1	0	0	0	9	14	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	1	1.244	1.124	0.828	0.955	3.097	1.493	51.2	13	7	0	3	5	6	0	0	4.649	5.029	0	0	0	0	2.8121	20.9693	3.161	2.569	2.924	4.263	8.8	0	1	0	1	1	0	0	0	1	0	6	1	5	0	0	0	0	0	0	0	8.8	0	0.7120000000000001	42.683	246.53400000000002	25.833000000000002	2.7569999999999997	0.0	42.683	26.28	28.21	0.0	113.39	123.625	0.0	113.39	0.0	0.0	113.39	58.02	53.994	53.994	0.0	31.349	82.041	0	5	3.617	3.025	7.603	7.352	2.398	2.864	0.6559999999999999	0.0	-3.133	24.328000000000003	8.131	16.41	3.998	3.804	7.439	7.428999999999999	7.421	-0.183	0	0	0	0	0	0	0	167	0	0	0	0	0	0.0	3.585	5.004	5.138	5.138	5.062	4.381	5.462000000000001	-3.6310000000000002	-3.622	-4.735	-2.9589999999999996	-4.38	7442	0.0	209.38299999999998	0	0	0	0	0	0	0	9	0	0	0	0	0	4.953
10.789000000000001	3.748	14.05	7.263	4.435	12.193	0.642	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1	1	39.4	4	1	0	1	1	0	0	0	10	0	2	0	1	0	1	2	0	0	3	0	0	8	0	0	15	2	0	7	2	7	6	0	4	9	3	5	0	0	3	13	0	1	0	1	2	0	4	18	0	3	0	4	2	18	0	1	7	3	13	2	0	14	0	10	16	0	1	10	1	11	0	0	1.296	0.701	0	0	31.253	1.617	0	0.0	227.25599999999997	266.559	187.94400000000002	0.0	0.5	1.0	0	5.888999999999999	8.671	3.995	7.059	4.476	2.106	3.653	6.709	1.96	3.532	6.5329999999999995	1.9069999999999998	6.209	3.2969999999999997	0.826	5.517	23.5	0	0	13	3	0	2	0	3	0	1	0	16	5	0	0	3	0	0	13	0	2	2	0	0	0	0	2	0	0	0	22	10	0	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	1	1.6469999999999998	1.031	0.868	1.145	3.417	1.858	46.5	3	16	1	0	3	8	0	0	4.854	4.8919999999999995	0	0	0	0	1.5835	13.2558	1.335	2.2969999999999997	3.9760000000000004	4.803999999999999	9.9	0	2	0	2	3	0	0	2	3	2	3	0	3	0	0	0	1	1	0	0	4.2	0	2.807	103.81	122.75200000000001	11.333	16.672	0.0	0.0	136.735	33.203	0.0	178.82	76.025	0.0	178.82	0.0	0.0	178.82	132.59799999999998	153.248	132.41899999999998	0.0	31.313000000000002	154.30700000000002	0	20	3.1060000000000003	2.656	8.207	8.182	3.045	0.0	1.74	0.0	-0.85	14.630999999999998	8.325	18.827	4.468	3.969	7.428	7.422999999999999	4.726	0.586	0	0	0	0	0	0	0	114	0	0	0	0	0	250.102	4.644	4.7669999999999995	4.71	4.7	5.2	5.015	4.968999999999999	-5.39	-5.382999999999999	-7.096	-8.501	-6.6129999999999995	20190	0.0	222.157	0	0	2	4	0	0	0	19	2	0	1	0	0	7.126
14.514000000000001	0.317	0.1	6.864	4.317	26.744	1.05	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	31.6	6	3	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	5	0	0	7	0	1	12	1	0	6	0	4	5	1	1	6	10	0	0	1	1	7	0	1	0	6	0	0	3	8	1	6	1	4	1	6	0	4	7	2	5	2	5	8	0	7	9	1	1	8	2	6	0	1	1.564	0.9740000000000001	0	0	24.504	1.089	0	0.0	144.789	0.0	0.0	0.0	1.0	0.0	0	5.773	9.142000000000001	3.853	6.393	3.842	1.9969999999999999	3.7439999999999998	6.117999999999999	1.9569999999999999	3.633	6.057	1.912	5.792999999999999	2.966	1.886	5.317	13.0	0	0	11	6	0	0	0	8	0	0	0	11	10	0	0	5	0	0	16	0	0	1	1	0	0	0	1	0	0	0	9	12	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	1.311	1.037	0.7709999999999999	0.917	2.722	1.444	51.3	13	5	0	1	5	8	0	0	4.684	4.993	0	0	0	0	2.7749	20.14	3.076	2.322	0.8909999999999999	4.248	9.2	0	0	1	1	1	1	0	0	2	0	5	1	5	0	0	0	0	0	0	0	7.9	1	0.794	9.476	189.66299999999998	44.163000000000004	5.449	0.0	0.0	38.448	28.644000000000002	0.0	110.807	156.209	0.0	110.807	0.0	0.0	110.807	70.031	47.013000000000005	67.128	0.0	39.332	71.475	0	5	3.418	2.813	7.5760000000000005	7.475	2.398	0.0	0.46799999999999997	7.502000000000001	-2.8339999999999996	20.877	8.128	15.998	4.081	3.805	7.433	7.428	5.852	0.462	0	0	0	0	0	0	0	166	0	0	0	0	0	0.0	3.585	4.813	4.779	4.776	4.676	4.269	5.257000000000001	-3.8080000000000003	-3.8169999999999997	-3.1189999999999998	-2.6180000000000003	-3.315	6911	0.0	200.271	0	0	0	0	1	0	0	9	0	0	0	0	0	4.894
12.187000000000001	4.107	16.863	7.143	3.955	12.555	0.391	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	45.0	0	2	0	0	1	2	0	0	15	3	0	0	0	0	0	0	0	0	2	0	0	3	1	0	22	0	0	22	0	1	3	0	0	3	5	17	0	0	0	5	0	0	0	7	6	0	2	9	0	12	0	4	0	12	0	1	6	0	10	0	7	13	0	8	19	0	0	7	0	24	0	0	1.886	1.155	0	1	14.835	1.4140000000000001	0	0.0	0.0	401.394	0.0	0.0	0.5	1.0	0	5.654	8.406	3.763	6.112	3.529	1.956	3.429	5.566	1.058	2.852	5.361000000000001	0.248	5.297000000000001	3.135	0.0	5.062	22.5	0	0	4	3	0	0	0	3	0	0	0	4	5	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66	1.749	1.311	1.11	1.4369999999999998	0.715	46.7	0	21	0	0	0	4	1	0	4.021	4.5	0	1	0	0	1.5031	12.017000000000001	0.633	2.102	11.363	4.303999999999999	3.3	0	0	0	0	3	0	0	0	3	0	2	2	2	0	1	0	0	0	0	0	5.0	0	2.394	203.78	59.699	9.557	0.0	0.0	42.683	161.11	18.952	0.0	185.13099999999997	36.022	0.0	185.13099999999997	0.0	0.0	185.13099999999997	175.722	151.7	200.503	0.0	24.035	161.096	1	18	2.286	1.5930000000000002	7.018	7.098	0.0	0.0	2.847	0.0	-0.682	6.525	8.181000000000001	17.842	3.681	3.838	7.4239999999999995	6.456	4.739	0.657	0	0	0	0	0	0	0	3	0	0	0	0	0	157.684	4.459	4.82	4.335	4.3260000000000005	5.062	4.707	5.607	-5.528	-5.499	-4.7989999999999995	-6.5489999999999995	-5.437	9102	0.0	163.976	0	0	3	3	3	0	0	22	3	2	0	0	0	5.922999999999999
14.8	-3.7319999999999998	13.929	7.695	4.561	78.238	1.9169999999999998	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	32.5	1	5	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	8	0	0	12	4	1	12	0	4	8	2	6	8	1	0	5	7	5	0	1	1	6	0	6	3	4	2	0	10	5	3	8	1	2	5	11	1	9	2	2	12	5	7	2	2	14	4	1	2	13	4	4	3	0	1.554	0.895	0	0	30.833000000000002	1.0859999999999999	0	0.0	0.0	206.94299999999998	0.0	0.0	1.0	0.0	0	5.98	9.691	3.8680000000000003	6.232	3.477	2.3409999999999997	3.8160000000000003	6.138	2.3409999999999997	3.725	6.006	2.004	5.845	3.071	1.979	5.327999999999999	18.0	0	0	11	12	0	0	0	12	0	0	2	9	16	0	0	4	0	0	25	0	0	5	1	0	0	0	1	0	0	0	10	25	0	0	3	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	6	4	0.993	1.193	0.963	0.997	2.937	1.6740000000000002	45.8	0	14	0	0	9	4	0	0	4.821000000000001	4.942	0	0	0	0	3.0916	24.4421	2.908	3.1439999999999997	7.246	4.511	7.2	0	0	0	0	1	0	0	0	1	0	8	0	8	0	0	0	0	0	0	0	14.5	0	0.9259999999999999	132.748	316.574	3.1860000000000004	0.0	0.0	85.367	80.61399999999999	0.0	0.0	102.11200000000001	122.95100000000001	0.0	102.11200000000001	0.0	0.0	102.11200000000001	72.065	50.567	50.567	0.0	45.906000000000006	56.206	0	6	4.03	3.722	7.627000000000001	7.462999999999999	0.0	0.0	0.515	0.0	-8.62	34.729	8.222000000000001	17.407	3.885	3.7710000000000004	7.472	7.442	7.4270000000000005	-3.8280000000000003	0	0	0	0	0	0	0	115	0	0	0	0	0	0.0	3.907	5.447	3.8139999999999996	3.803	5.6739999999999995	3.918	6.566	-4.351	-4.349	-4.806	-4.268	-4.7219999999999995	10292	0.0	244.317	0	0	1	1	0	0	0	14	1	0	0	0	0	5.4239999999999995
18.061	2.7739999999999996	7.693	7.019	4.547	22.416999999999998	1.063	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	36.1	6	3	3	0	2	2	0	0	6	1	0	0	1	0	0	1	0	0	6	0	0	9	0	0	21	1	0	14	1	7	7	0	1	11	10	5	0	0	1	11	0	1	0	6	3	0	3	15	1	8	0	9	1	12	0	3	13	4	9	2	6	16	0	10	17	0	1	12	2	16	0	0	1.57	0.895	0	0	36.045	1.202	0	0.0	386.848	230.291	0.0	0.0	1.0	0.0	0	6.064	9.302	3.853	6.393	3.842	1.9969999999999999	3.748	6.12	1.9569999999999999	3.716	6.096	1.912	6.03	3.179	1.9069999999999998	5.792999999999999	20.5	0	0	11	9	0	0	0	11	0	0	1	11	17	0	0	4	0	0	21	0	0	1	1	0	0	0	1	0	0	0	11	21	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	4	1.4140000000000001	1.094	0.868	0.95	3.2289999999999996	1.695	49.5	13	16	0	0	4	10	0	0	5.03	5.232	0	0	0	0	1.5939	15.3313	0.915	2.36	0.9940000000000001	4.644	6.2	0	0	0	1	3	1	0	0	3	0	6	2	6	0	0	1	0	0	0	0	8.2	2	1.574	75.81	201.18099999999998	26.676	5.449	0.0	0.0	96.206	38.549	0.0	185.169	109.65	0.0	185.169	0.0	0.0	185.169	139.55	97.579	168.984	0.0	56.407	128.761	0	16	3.594	2.813	7.827999999999999	7.739	3.045	0.0	1.274	0.0	-3.05	24.997	8.139	21.301	4.081	3.853	7.431	7.428	7.422000000000001	1.693	0	0	0	0	0	0	0	115	0	0	0	0	0	356.389	4.248	5.19	3.208	3.202	4.939	5.119	5.666	-5.226	-5.218	-4.087	-4.678	-4.437	21684	0.0	272.139	0	0	1	1	4	1	1	17	1	2	0	1	0	5.675
9.0	4.282	18.338	6.882999999999999	4.2669999999999995	11.333	0.488	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	41.3	6	0	0	0	0	0	0	0	8	2	1	2	0	0	1	1	0	0	2	0	0	5	0	0	17	0	0	11	1	7	3	0	3	7	1	10	0	0	1	11	0	0	0	1	8	0	2	13	0	3	0	10	2	13	0	1	14	1	14	0	2	18	0	10	17	0	0	7	0	14	0	0	1.8619999999999999	1.227	0	1	25.48	1.4609999999999999	0	0.0	109.256	248.956	0.0	0.0	0.5	1.0	0	5.683	8.307	3.9739999999999998	7.1129999999999995	3.932	2.088	3.6189999999999998	7.044	1.219	3.536	6.456	0.6509999999999999	6.159	3.239	0.136	5.683	19.5	0	0	7	4	0	0	0	5	0	0	0	8	5	0	0	1	0	0	15	0	1	0	0	0	0	0	1	0	0	0	11	11	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.325	1.319	1.16	1.204	2.965	1.722	49.2	9	9	1	2	0	9	1	0	4.115	4.242	0	1	0	0	1.8774	12.417	1.219	2.263	7.211	4.553999999999999	4.8	0	0	0	1	3	1	0	0	4	0	2	0	2	0	1	0	1	2	0	0	4.8	1	1.935	87.54899999999999	100.027	36.73	17.22	0.0	0.0	111.535	16.785999999999998	0.0	182.582	37.921	0.0	182.582	0.0	0.0	182.582	135.132	146.514	166.856	0.0	23.986	161.72	1	17	2.48	1.858	8.244	7.766	2.398	0.0	2.484	0.0	-0.7070000000000001	8.187999999999999	8.387	14.68	4.598	3.824	7.422999999999999	5.051	4.387	0.0	0	0	0	0	0	0	0	12	0	0	0	0	0	121.552	4.322	4.7219999999999995	4.649	4.644	4.819	4.188	5.194	-3.8339999999999996	-3.82	-7.515	-3.035	-6.271	7894	0.0	182.827	0	0	1	2	1	0	0	17	2	0	0	0	0	6.664
14.845999999999998	-6.645	44.151	7.416	4.47	80.795	1.962	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	27.6	2	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	11	4	2	5	0	0	1	0	4	6	2	0	3	5	0	0	1	3	4	0	7	4	2	1	0	9	3	2	2	2	0	2	4	2	10	0	6	5	8	4	0	0	4	0	0	1	3	7	2	0	0	1.5659999999999998	0.898	0	0	27.685	1.0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	5.803999999999999	9.573	3.872	6.398	3.3110000000000004	2.004	3.804	6.146	1.979	3.708	6.031000000000001	1.945	5.888	2.9219999999999997	1.911	5.303	10.5	0	0	12	11	0	0	0	12	0	0	0	9	15	0	0	4	0	0	23	0	1	4	3	0	0	0	2	0	0	0	8	21	0	0	3	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	4	1.067	1.15	0.9359999999999999	0.937	3.0	1.611	48.7	0	12	0	0	7	5	0	0	4.6819999999999995	4.702	0	0	0	0	5.3136	38.0	2.798	3.0780000000000003	23.699	4.22	9.2	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	14.5	0	0.313	170.733	208.947	0.0	0.0	0.0	170.733	32.933	0.0	0.0	58.187	155.84799999999998	0.0	58.187	0.0	0.0	58.187	25.254	0.0	0.0	0.0	40.536	17.65	0	0	3.804	3.347	7.593999999999999	7.273	0.0	0.0	0.0	0.0	-6.621	29.136999999999997	8.067	15.652999999999999	3.926	3.7319999999999998	7.435	7.433	7.4239999999999995	-3.292	0	0	0	0	0	0	0	176	0	0	0	0	0	-129.461	3.0	5.043	5.12	5.12	5.132000000000001	4.551	6.087999999999999	-6.374	-6.399	-4.615	-5.406000000000001	-4.974	5738	0.0	210.245	0	0	0	0	0	0	0	7	0	0	0	0	0	4.4430000000000005
15.452	-3.6010000000000004	12.969000000000001	7.032	4.513999999999999	62.597	1.8019999999999998	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	29.1	4	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	11	4	1	10	0	2	5	1	5	7	1	0	6	9	0	0	1	2	7	0	4	2	6	1	0	7	7	2	5	1	2	3	6	1	11	3	6	10	7	9	4	0	10	4	1	4	7	9	2	0	1	1.496	0.733	0	0	29.151	1.0	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	5.861000000000001	9.573	3.8689999999999998	6.399	3.3110000000000004	2.3409999999999997	3.793	6.138	2.004	3.7	6.055	1.979	5.877999999999999	2.912	1.945	5.317	10.5	0	0	11	11	0	0	0	12	0	0	1	9	15	0	0	4	0	0	24	0	0	2	2	0	0	0	1	0	0	0	7	21	0	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	2	3	1.109	1.022	0.9890000000000001	1.022	3.0	1.778	51.2	7	10	0	0	7	9	0	0	4.93	4.946000000000001	0	0	0	0	5.5312	41.0	2.877	2.988	8.54	4.317	7.0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	12.8	0	0.293	128.05	247.83599999999998	0.0	0.0	0.0	128.05	29.138	0.0	0.0	77.111	122.95100000000001	0.0	77.111	0.0	0.0	77.111	47.973	0.0	0.0	0.0	41.81	35.301	0	0	3.865	3.4939999999999998	7.63	7.3	0.0	0.0	0.0	0.0	-6.24	30.046999999999997	8.137	16.254	3.928	3.74	7.443	7.434	7.4239999999999995	-2.157	0	0	0	0	0	0	0	115	0	0	0	0	0	-144.611	3.0	5.142	5.159	5.16	5.093999999999999	4.5680000000000005	6.319	-3.9939999999999998	-3.986	-4.697	-3.735	-4.52	6909	0.0	223.99200000000002	0	0	0	0	0	0	0	7	0	0	0	0	0	4.533
16.0	1.851	3.425	6.75	4.338	24.267	0.851	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	33.3	5	3	2	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	4	1	0	6	0	1	16	0	0	12	1	2	5	1	0	6	9	3	0	1	0	11	0	0	0	7	0	0	4	9	1	7	1	3	0	6	0	3	8	1	8	1	7	9	0	9	10	1	0	6	1	6	0	1	1.66	1.013	0	0	25.548000000000002	1.09	0	0.0	0.0	182.392	0.0	0.0	1.0	0.0	0	5.801	9.14	3.855	6.393	3.448	2.206	3.7560000000000002	6.064	1.996	3.656	5.867000000000001	1.955	5.359	2.9810000000000003	1.911	5.317	15.0	0	0	10	7	0	0	0	5	0	0	1	10	12	0	0	4	0	0	20	0	0	0	0	0	0	0	1	0	0	0	11	13	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1.3719999999999999	1.166	0.831	0.9390000000000001	2.437	1.4240000000000002	51.9	13	11	0	1	2	8	0	0	4.68	5.029	0	0	0	0	2.6973	21.2632	3.248	2.4459999999999997	0.001	4.277	7.4	0	0	1	0	1	0	0	0	1	0	5	1	5	0	0	1	0	0	0	0	7.4	1	0.946	47.381	165.362	45.857	6.763	0.0	0.0	76.148	9.047	0.0	141.517	136.612	0.0	141.517	0.0	0.0	141.517	102.296	50.567	50.567	0.0	40.963	100.555	0	6	3.637	3.074	7.468999999999999	7.232	0.0	0.0	0.7929999999999999	7.516	-3.0069999999999997	25.023000000000003	8.128	17.617	3.885	3.803	7.434	7.431	5.852	0.506	0	0	0	0	0	0	0	104	0	0	0	0	0	0.0	3.7	4.808	3.072	3.0660000000000003	5.117	4.298	6.114	-4.317	-4.306	-3.032	-2.79	-3.447	8376	0.0	204.882	0	0	1	1	0	0	0	12	1	0	0	0	0	4.958
